stop_lat,zone_id,stop_lon,stop_url,stop_id,stop_name,location_type,stop_code
49.8405761,,-97.1715321891,https://winnipegtransit.com/stops/60821,60821,Southbound Fennell at Seel,0,60821
49.8377481957,,-97.1690380936,https://winnipegtransit.com/stops/60820,60820,Northbound Fennell at Buffalo,0,60820
49.8318206058,,-97.1645060499,https://winnipegtransit.com/stops/60823,60823,Eastbound Clarence at Irene,0,60823
49.8372688825,,-97.1688753979,https://winnipegtransit.com/stops/60822,60822,Southbound Fennell at Buffalo,0,60822
49.8149543005,,-97.1565532545,https://winnipegtransit.com/stops/60137,60137,Southbound Chancellor at Chancellor Station,0,60137
49.8399655137,,-97.1956725285,https://winnipegtransit.com/stops/60136,60136,Southbound Lindenwood at Tweedsmuir,0,60136
49.8426511114,,-97.1896611202,https://winnipegtransit.com/stops/60135,60135,Southbound Lindenwood at Kingsborough,0,60135
49.816209526,,-97.1523489451,https://winnipegtransit.com/stops/60134,60134,Northbound Chancellor at Pembina,0,60134
49.8153866445,,-97.1548964523,https://winnipegtransit.com/stops/60133,60133,Northbound Chancellor at Gaylene,0,60133
49.8960045087,,-97.306441275,https://winnipegtransit.com/stops/20524,20524,Westbound Lumsden at Lake Ridge East,0,20524
49.8135906526,,-97.1522679737,https://winnipegtransit.com/stops/60130,60130,Southbound Pembina at Thatcher,0,60130
49.9271586629,,-97.1696094477,https://winnipegtransit.com/stops/30488,30488,Westbound Burrows at McPhillips,0,30488
49.817818455,,-97.1511476833,https://winnipegtransit.com/stops/60139,60139,Southbound University at Pembina,0,60139
49.8178984711,,-97.1522151022,https://winnipegtransit.com/stops/60138,60138,Southbound Pembina at University Crescent,0,60138
49.9442244421,,-97.199599488,https://winnipegtransit.com/stops/30648,30648,Southbound Dexter at Kinver,0,30648
49.908909618,,-97.1708575223,https://winnipegtransit.com/stops/17011,17011,Northbound McPhillips at William,0,17011
49.9437072511,,-97.1654976816,https://winnipegtransit.com/stops/30841,30841,Eastbound Mapleglen at Maberley,0,30841
49.9200507929,,-97.0822488626,https://winnipegtransit.com/stops/40351,40351,Northbound Gateway at Kimberly,0,40351
49.9406948427,,-97.2005255033,https://winnipegtransit.com/stops/30663,30663,Northbound Dexter at Brophy,0,30663
49.9515915705,,-97.1032595843,https://winnipegtransit.com/stops/30661,30661,Northbound Main at Chief Peguis,0,30661
49.8019732463,,-97.1559206451,https://winnipegtransit.com/stops/60097,60097,Westbound Chancellor Matheson at Pembina,0,60097
49.899385926,,-97.0636837758,https://winnipegtransit.com/stops/40198,40198,Southbound Stapon at Reenders South,0,40198
49.9175072916,,-97.212227014,https://winnipegtransit.com/stops/20320,20320_merged_67002,Westbound RRC Polytech at RRC Polytech (D16),0,20320
49.9661577057,,-97.189452163,https://winnipegtransit.com/stops/30849,30849,Southbound Ritchie at Foxwarren,0,30849
49.8889764215,,-97.1482072939,https://winnipegtransit.com/stops/10703,10703,Northbound Vaughan at St. Mary,0,10703
49.9373822109,,-97.2154773451,https://winnipegtransit.com/stops/30705,30705,Eastbound Egesz at Markwood,0,30705
49.9458345569,,-97.1938244869,https://winnipegtransit.com/stops/30643,30643,Eastbound Inkster at Keewatin,0,30643
49.8895644705,,-97.147293729,https://winnipegtransit.com/stops/10700,10700,Southbound Kennedy at St. Mary,0,10700
49.8912357276,,-97.1494296064,https://winnipegtransit.com/stops/10706,10706,Northbound Vaughan at Portage South,0,10706
49.9387443677,,-97.2116501245,https://winnipegtransit.com/stops/30704,30704,Westbound Burrows at Palms,0,30704
49.8360931525,,-97.1679045709,https://winnipegtransit.com/stops/60003,60003,Southbound Irene at Sony,0,60003
49.836080642,,-97.1676825256,https://winnipegtransit.com/stops/60002,60002,Northbound Irene at Sony,0,60002
49.8681785349,,-97.2654148092,https://winnipegtransit.com/stops/60001,60001,Northbound William Clement at Roblin,0,60001
49.8431404678,,-97.2008537985,https://winnipegtransit.com/stops/60007,60007,Southbound Lorimer at Sterling Lyon,0,60007
49.8465788256,,-97.2004201156,https://winnipegtransit.com/stops/60006,60006,Northbound Lorimer at Wilkes,0,60006
49.8464823149,,-97.2005767133,https://winnipegtransit.com/stops/60005,60005,Southbound Lorimer at Wilkes,0,60005
49.8468312408,,-97.1946796429,https://winnipegtransit.com/stops/60004,60004,Eastbound Wilkes at Carpenter,0,60004
49.8538441285,,-97.1652995194,https://winnipegtransit.com/stops/60009,60009,Eastbound Taylor at Nathaniel,0,60009
49.8433003403,,-97.2007226787,https://winnipegtransit.com/stops/60008,60008,Northbound Lorimer at Sterling Lyon,0,60008
49.7999932377,,-97.1035482581,https://winnipegtransit.com/stops/50982,50982,Westbound Aldgate at Michaud,0,50982
49.8786666981,,-97.1313274572,https://winnipegtransit.com/stops/50210,50210,Southbound Pinedale at Walmer,0,50210
49.9445952417,,-97.2026242749,https://winnipegtransit.com/stops/30647,30647,Westbound Kinver at Cropo East,0,30647
49.875432748,,-97.1310347381,https://winnipegtransit.com/stops/50212,50212,Eastbound Highfield at Pinedale,0,50212
49.891351084,,-97.1364347462,https://winnipegtransit.com/stops/10639,10639,Southbound Main at St. Mary,0,10639
49.8940644581,,-97.1379175684,https://winnipegtransit.com/stops/10638,10638,Southbound Main at Portage and Main Junction,0,10638
49.8971147159,,-97.1390951697,https://winnipegtransit.com/stops/10636,10636,Southbound Main at McDermot,0,10636
49.8990303652,,-97.1390771688,https://winnipegtransit.com/stops/10635,10635,Southbound Main at William (City Hall),0,10635
49.901780157,,-97.1366735193,https://winnipegtransit.com/stops/10633,10633,Southbound Main at Alexander,0,10633
49.9034052795,,-97.1353714184,https://winnipegtransit.com/stops/10632,10632,Southbound Main at Henry,0,10632
49.9042712199,,-97.1344049171,https://winnipegtransit.com/stops/10631,10631,Northbound Main at Higgins,0,10631
49.9023591196,,-97.1357599171,https://winnipegtransit.com/stops/10630,10630,Northbound Main at Logan,0,10630
49.8781564125,,-97.2934248824,https://winnipegtransit.com/stops/20520,20520,Northbound Westwood at Amundsen,0,20520
49.869643246,,-97.1570465434,https://winnipegtransit.com/stops/10140,10140,Westbound Corydon at Lilac,0,10140
49.870785111,,-97.1530644615,https://winnipegtransit.com/stops/10143,10143,Eastbound Corydon at Cockburn,0,10143
49.8701580297,,-97.1554821402,https://winnipegtransit.com/stops/10142,10142,Westbound Corydon at Arbuthnot,0,10142
49.9055061194,,-97.1723511473,https://winnipegtransit.com/stops/10413,10413,Eastbound Notre Dame at Lipton,0,10413
49.9040939017,,-97.1999101906,https://winnipegtransit.com/stops/20525,20525,Southbound St James at Costco,0,20525
